date,time,symbol,orig,bid,ask,bid_size,ask_size
2020-11-17,08:00:00.461,EUR/USD,Provider1,1.18353,1.18375,1000000,1000000
2020-11-17,08:00:00.476,EUR/USD,Provider4,1.18347,1.18377,1000000,1000000
2020-11-17,08:00:00.476,EUR/USD,Provider1,1.18353,1.18376,1000000,1000000
2020-11-17,08:00:00.482,EUR/USD,Provider3,1.18351,1.18377,500000,500000
2020-11-17,08:00:00.506,EUR/USD,Provider2,1.18348,1.18375,1000000,1000000
2020-11-17,08:00:00.510,EUR/USD,Provider3,1.18352,1.18378,500000,500000
2020-11-17,08:00:00.517,EUR/USD,Provider1,1.18354,1.18377,1000000,1000000
2020-11-17,08:00:00.531,EUR/USD,Provider3,1.18353,1.18378,500000,500000
2020-11-17,08:00:00.534,EUR/USD,Provider1,1.18353,1.18376,1000000,1000000
2020-11-17,08:00:00.551,EUR/USD,Provider1,1.18353,1.18377,1000000,1000000
2020-11-17,08:00:00.563,EUR/USD,Provider1,1.18354,1.18377,1000000,1000000
2020-11-17,08:00:00.566,EUR/USD,Provider2,1.18349,1.18377,1000000,1000000
2020-11-17,08:00:00.569,EUR/USD,Provider1,1.18353,1.18377,1000000,1000000
2020-11-17,08:00:00.574,EUR/USD,Provider1,1.18352,1.18377,1000000,1000000
2020-11-17,08:00:00.579,EUR/USD,Provider3,1.18351,1.18378,500000,500000
2020-11-17,08:00:00.585,EUR/USD,Provider1,1.18353,1.18377,1000000,1000000
2020-11-17,08:00:00.593,EUR/USD,Provider3,1.18353,1.18379,500000,500000
2020-11-17,08:00:00.636,EUR/USD,Provider1,1.18352,1.18375,1000000,1000000
2020-11-17,08:00:00.637,EUR/USD,Provider3,1.18351,1.18379,500000,500000
2020-11-17,08:00:00.696,EUR/USD,Provider1,1.18353,1.18376,1000000,1000000
2020-11-17,08:00:00.744,EUR/USD,Provider2,1.18349,1.18376,1000000,1000000
2020-11-17,08:00:00.964,EUR/USD,Provider4,1.18348,1.18378,1000000,1000000
2020-11-17,08:00:01.043,EUR/USD,Provider2,1.18348,1.18376,1000000,1000000
2020-11-17,08:00:01.048,EUR/USD,Provider1,1.18352,1.18376,1000000,1000000
2020-11-17,08:00:01.056,EUR/USD,Provider3,1.1835,1.18379,500000,500000
2020-11-17,08:00:01.084,EUR/USD,Provider1,1.18351,1.18376,1000000,1000000
2020-11-17,08:00:01.096,EUR/USD,Provider2,1.18347,1.18375,1000000,1000000
2020-11-17,08:00:01.099,EUR/USD,Provider1,1.18351,1.18375,1000000,1000000
2020-11-17,08:00:01.103,EUR/USD,Provider1,1.1835,1.18375,1000000,1000000
2020-11-17,08:00:01.105,EUR/USD,Provider1,1.18349,1.18375,1000000,1000000
2020-11-17,08:00:01.106,EUR/USD,Provider1,1.18351,1.18375,1000000,1000000
2020-11-17,08:00:01.107,EUR/USD,Provider1,1.18351,1.18376,1000000,1000000
2020-11-17,08:00:01.108,EUR/USD,Provider4,1.18346,1.18376,1000000,1000000
2020-11-17,08:00:01.111,EUR/USD,Provider3,1.18351,1.18377,500000,500000
2020-11-17,08:00:01.116,EUR/USD,Provider3,1.1835,1.18378,500000,500000
2020-11-17,08:00:01.117,EUR/USD,Provider2,1.18348,1.18376,1000000,1000000
2020-11-17,08:00:01.150,EUR/USD,Provider3,1.18351,1.18377,500000,500000
2020-11-17,08:00:01.152,EUR/USD,Provider1,1.18351,1.18375,1000000,1000000
2020-11-17,08:00:01.155,EUR/USD,Provider4,1.18344,1.18375,1000000,1000000
2020-11-17,08:00:01.168,EUR/USD,Provider1,1.1835,1.18374,1000000,1000000
2020-11-17,08:00:01.172,EUR/USD,Provider2,1.18347,1.18375,1000000,1000000
2020-11-17,08:00:01.172,EUR/USD,Provider1,1.1835,1.18375,1000000,1000000
2020-11-17,08:00:01.172,EUR/USD,Provider1,1.18352,1.18375,1000000,1000000
2020-11-17,08:00:01.173,EUR/USD,Provider1,1.18352,1.18376,1000000,1000000
2020-11-17,08:00:01.174,EUR/USD,Provider3,1.18351,1.18376,500000,500000
2020-11-17,08:00:01.187,EUR/USD,Provider3,1.18351,1.18377,500000,500000
2020-11-17,08:00:01.198,EUR/USD,Provider1,1.18351,1.18376,1000000,1000000
2020-11-17,08:00:01.202,EUR/USD,Provider1,1.18351,1.18377,1000000,1000000
2020-11-17,08:00:01.208,EUR/USD,Provider3,1.1835,1.18378,500000,500000
2020-11-17,08:00:01.210,EUR/USD,Provider1,1.18352,1.18377,1000000,1000000
2020-11-17,08:00:01.217,EUR/USD,Provider1,1.18352,1.18376,1000000,1000000
2020-11-17,08:00:01.217,EUR/USD,Provider4,1.18347,1.18377,1000000,1000000
2020-11-17,08:00:01.220,EUR/USD,Provider2,1.18348,1.18376,1000000,1000000
2020-11-17,08:00:01.224,EUR/USD,Provider3,1.18352,1.18378,500000,500000
2020-11-17,08:00:01.256,EUR/USD,Provider3,1.1835,1.18378,500000,500000
2020-11-17,08:00:01.275,EUR/USD,Provider4,1.18344,1.18375,1000000,1000000
2020-11-17,08:00:01.276,EUR/USD,Provider2,1.18347,1.18375,1000000,1000000
2020-11-17,08:00:01.309,EUR/USD,Provider3,1.18351,1.18376,500000,500000
2020-11-17,08:00:01.328,EUR/USD,Provider3,1.18351,1.18377,500000,500000
2020-11-17,08:00:01.351,EUR/USD,Provider3,1.18349,1.18377,500000,500000
2020-11-17,08:00:01.368,EUR/USD,Provider3,1.18351,1.18377,500000,500000
2020-11-17,08:00:01.389,EUR/USD,Provider3,1.18349,1.18377,500000,500000
2020-11-17,08:00:01.394,EUR/USD,Provider2,1.18346,1.18374,1000000,1000000
2020-11-17,08:00:01.423,EUR/USD,Provider4,1.1834,1.18372,1000000,1000000
2020-11-17,08:00:01.424,EUR/USD,Provider3,1.18348,1.18374,500000,500000
2020-11-17,08:00:01.427,EUR/USD,Provider2,1.18344,1.18372,1000000,1000000
2020-11-17,08:00:01.437,EUR/USD,Provider3,1.18347,1.18373,500000,500000
2020-11-17,08:00:01.484,EUR/USD,Provider2,1.18343,1.18371,1000000,1000000
2020-11-17,08:00:01.508,EUR/USD,Provider3,1.18345,1.18373,500000,500000
2020-11-17,08:00:01.547,EUR/USD,Provider2,1.18344,1.18372,1000000,1000000
2020-11-17,08:00:01.550,EUR/USD,Provider3,1.18345,1.18374,500000,500000
2020-11-17,08:00:01.570,EUR/USD,Provider3,1.18345,1.18373,500000,500000
2020-11-17,08:00:01.573,EUR/USD,Provider4,1.18342,1.18373,1000000,1000000
2020-11-17,08:00:01.574,EUR/USD,Provider2,1.18343,1.18371,1000000,1000000
2020-11-17,08:00:01.637,EUR/USD,Provider2,1.18342,1.1837,1000000,1000000
2020-11-17,08:00:01.651,EUR/USD,Provider4,1.1834,1.18371,1000000,1000000
2020-11-17,08:00:01.827,EUR/USD,Provider3,1.18346,1.18372,500000,500000
2020-11-17,08:00:01.989,EUR/USD,Provider1,1.18346,1.1837,1000000,1000000
2020-11-17,08:00:02.037,EUR/USD,Provider3,1.18345,1.18373,500000,500000
2020-11-17,08:00:02.076,EUR/USD,Provider1,1.18347,1.1837,1000000,1000000
2020-11-17,08:00:02.096,EUR/USD,Provider1,1.18346,1.1837,1000000,1000000
2020-11-17,08:00:02.104,EUR/USD,Provider2,1.18342,1.18369,1000000,1000000
2020-11-17,08:00:02.109,EUR/USD,Provider3,1.18346,1.18372,500000,500000
2020-11-17,08:00:02.118,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:02.134,EUR/USD,Provider4,1.18338,1.1837,1000000,1000000
2020-11-17,08:00:02.151,EUR/USD,Provider3,1.18345,1.18371,500000,500000
2020-11-17,08:00:02.220,EUR/USD,Provider1,1.18346,1.1837,1000000,1000000
2020-11-17,08:00:02.251,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:02.267,EUR/USD,Provider1,1.18346,1.1837,1000000,1000000
2020-11-17,08:00:02.285,EUR/USD,Provider2,1.18341,1.18369,1000000,1000000
2020-11-17,08:00:02.286,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:02.327,EUR/USD,Provider3,1.18344,1.18372,500000,500000
2020-11-17,08:00:02.507,EUR/USD,Provider1,1.18344,1.1837,1000000,1000000
2020-11-17,08:00:02.516,EUR/USD,Provider3,1.18343,1.18371,500000,500000
2020-11-17,08:00:02.518,EUR/USD,Provider2,1.18341,1.18368,1000000,1000000
2020-11-17,08:00:02.520,EUR/USD,Provider1,1.18343,1.1837,1000000,1000000
2020-11-17,08:00:02.523,EUR/USD,Provider4,1.18336,1.18369,1000000,1000000
2020-11-17,08:00:02.732,EUR/USD,Provider2,1.1834,1.18368,1000000,1000000
2020-11-17,08:00:02.747,EUR/USD,Provider1,1.18344,1.1837,1000000,1000000
2020-11-17,08:00:02.766,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:02.775,EUR/USD,Provider1,1.18346,1.1837,1000000,1000000
2020-11-17,08:00:02.776,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:02.785,EUR/USD,Provider1,1.18344,1.1837,1000000,1000000
2020-11-17,08:00:02.814,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:02.820,EUR/USD,Provider4,1.18338,1.18369,1000000,1000000
2020-11-17,08:00:02.822,EUR/USD,Provider1,1.18344,1.1837,1000000,1000000
2020-11-17,08:00:02.827,EUR/USD,Provider1,1.18344,1.18368,1000000,1000000
2020-11-17,08:00:02.830,EUR/USD,Provider3,1.18343,1.1837,500000,500000
2020-11-17,08:00:02.839,EUR/USD,Provider1,1.18343,1.18368,1000000,1000000
2020-11-17,08:00:02.847,EUR/USD,Provider2,1.18339,1.18367,1000000,1000000
2020-11-17,08:00:02.850,EUR/USD,Provider3,1.18341,1.18369,500000,500000
2020-11-17,08:00:02.866,EUR/USD,Provider4,1.18336,1.18367,1000000,1000000
2020-11-17,08:00:03.022,EUR/USD,Provider2,1.18339,1.18366,1000000,1000000
2020-11-17,08:00:03.356,EUR/USD,Provider2,1.18339,1.18366,900000,1000000
2020-11-17,08:00:03.365,EUR/USD,Provider2,1.18339,1.18366,1000000,1000000
2020-11-17,08:00:03.385,EUR/USD,Provider1,1.18343,1.18366,1000000,1000000
2020-11-17,08:00:03.396,EUR/USD,Provider3,1.1834,1.18368,500000,500000
2020-11-17,08:00:03.397,EUR/USD,Provider2,1.18338,1.18366,900000,1000000
2020-11-17,08:00:03.410,EUR/USD,Provider1,1.18342,1.18366,1000000,1000000
2020-11-17,08:00:03.465,EUR/USD,Provider2,1.18338,1.18365,1000000,1000000
2020-11-17,08:00:03.473,EUR/USD,Provider1,1.18342,1.18365,1000000,1000000
2020-11-17,08:00:03.482,EUR/USD,Provider1,1.18341,1.18365,1000000,1000000
2020-11-17,08:00:03.512,EUR/USD,Provider1,1.18339,1.18365,1000000,1000000
2020-11-17,08:00:03.517,EUR/USD,Provider1,1.18338,1.18365,1000000,1000000
2020-11-17,08:00:03.520,EUR/USD,Provider1,1.18339,1.18365,1000000,1000000
2020-11-17,08:00:03.548,EUR/USD,Provider1,1.1834,1.18365,1000000,1000000
2020-11-17,08:00:03.565,EUR/USD,Provider1,1.18339,1.18365,1000000,1000000
2020-11-17,08:00:03.569,EUR/USD,Provider2,1.18337,1.18364,1000000,1000000
2020-11-17,08:00:03.572,EUR/USD,Provider3,1.1834,1.18367,500000,500000
2020-11-17,08:00:03.576,EUR/USD,Provider3,1.18339,1.18366,500000,500000
2020-11-17,08:00:03.578,EUR/USD,Provider4,1.18334,1.18366,1000000,1000000
2020-11-17,08:00:03.580,EUR/USD,Provider1,1.1834,1.18365,1000000,1000000
2020-11-17,08:00:03.600,EUR/USD,Provider4,1.18332,1.18363,1000000,1000000
2020-11-17,08:00:03.600,EUR/USD,Provider1,1.18339,1.18363,1000000,1000000
2020-11-17,08:00:03.617,EUR/USD,Provider1,1.1834,1.18363,1000000,1000000
2020-11-17,08:00:03.623,EUR/USD,Provider2,1.18335,1.18362,1000000,1000000
2020-11-17,08:00:03.624,EUR/USD,Provider3,1.18338,1.18365,500000,500000
2020-11-17,08:00:03.643,EUR/USD,Provider2,1.18336,1.18363,1000000,1000000
2020-11-17,08:00:03.643,EUR/USD,Provider3,1.18339,1.18366,500000,500000
2020-11-17,08:00:03.643,EUR/USD,Provider1,1.18341,1.18363,1000000,1000000
2020-11-17,08:00:03.650,EUR/USD,Provider3,1.18338,1.18365,500000,500000
2020-11-17,08:00:03.651,EUR/USD,Provider1,1.1834,1.18363,1000000,1000000
2020-11-17,08:00:03.657,EUR/USD,Provider1,1.18339,1.18363,1000000,1000000
2020-11-17,08:00:03.665,EUR/USD,Provider2,1.18335,1.18362,1000000,1000000
2020-11-17,08:00:03.672,EUR/USD,Provider1,1.18339,1.18361,1000000,1000000
2020-11-17,08:00:03.678,EUR/USD,Provider1,1.18338,1.18361,1000000,1000000
2020-11-17,08:00:03.704,EUR/USD,Provider1,1.18338,1.1836,1000000,1000000
2020-11-17,08:00:03.707,EUR/USD,Provider1,1.18337,1.1836,1000000,1000000
2020-11-17,08:00:03.723,EUR/USD,Provider1,1.18338,1.1836,1000000,1000000
2020-11-17,08:00:03.734,EUR/USD,Provider1,1.18338,1.18361,1000000,1000000
2020-11-17,08:00:03.750,EUR/USD,Provider3,1.18336,1.18364,500000,500000
2020-11-17,08:00:03.761,EUR/USD,Provider1,1.18338,1.1836,1000000,1000000
2020-11-17,08:00:03.771,EUR/USD,Provider1,1.18337,1.1836,1000000,1000000
2020-11-17,08:00:03.791,EUR/USD,Provider4,1.1833,1.18361,1000000,1000000
2020-11-17,08:00:03.814,EUR/USD,Provider2,1.18333,1.18361,1000000,1000000
2020-11-17,08:00:03.815,EUR/USD,Provider3,1.18335,1.18363,500000,500000
2020-11-17,08:00:03.856,EUR/USD,Provider1,1.18337,1.18361,1000000,1000000
2020-11-17,08:00:03.859,EUR/USD,Provider1,1.18338,1.18361,1000000,1000000
2020-11-17,08:00:03.874,EUR/USD,Provider4,1.18328,1.18361,1000000,1000000
2020-11-17,08:00:03.879,EUR/USD,Provider2,1.18332,1.1836,1000000,1000000
2020-11-17,08:00:03.920,EUR/USD,Provider1,1.18338,1.18362,1000000,1000000
2020-11-17,08:00:03.937,EUR/USD,Provider1,1.18339,1.18363,1000000,1000000
2020-11-17,08:00:03.940,EUR/USD,Provider1,1.18339,1.18362,1000000,1000000
2020-11-17,08:00:03.955,EUR/USD,Provider3,1.18336,1.18364,500000,500000
2020-11-17,08:00:03.956,EUR/USD,Provider2,1.18333,1.18361,1000000,1000000
2020-11-17,08:00:03.958,EUR/USD,Provider1,1.18339,1.18363,1000000,1000000
2020-11-17,08:00:03.974,EUR/USD,Provider1,1.18339,1.18362,1000000,1000000
2020-11-17,08:00:03.994,EUR/USD,Provider3,1.18337,1.18365,500000,500000
2020-11-17,08:00:04.010,EUR/USD,Provider3,1.18337,1.18364,500000,500000
2020-11-17,08:00:04.013,EUR/USD,Provider4,1.1833,1.18363,1000000,1000000
2020-11-17,08:00:04.013,EUR/USD,Provider1,1.18339,1.18363,1000000,1000000
2020-11-17,08:00:04.023,EUR/USD,Provider1,1.1834,1.18363,1000000,1000000
2020-11-17,08:00:04.039,EUR/USD,Provider1,1.18341,1.18365,1000000,1000000
2020-11-17,08:00:04.041,EUR/USD,Provider2,1.18335,1.18363,1000000,1000000
2020-11-17,08:00:04.057,EUR/USD,Provider1,1.1834,1.18365,1000000,1000000
2020-11-17,08:00:04.099,EUR/USD,Provider3,1.18338,1.18365,500000,500000
2020-11-17,08:00:04.120,EUR/USD,Provider1,1.1834,1.18363,1000000,1000000
2020-11-17,08:00:04.128,EUR/USD,Provider3,1.18337,1.18364,500000,500000
2020-11-17,08:00:04.154,EUR/USD,Provider1,1.18341,1.18364,1000000,1000000
2020-11-17,08:00:04.170,EUR/USD,Provider3,1.18338,1.18365,500000,500000
2020-11-17,08:00:04.174,EUR/USD,Provider1,1.18341,1.18365,1000000,1000000
2020-11-17,08:00:04.176,EUR/USD,Provider1,1.18342,1.18365,1000000,1000000
2020-11-17,08:00:04.184,EUR/USD,Provider3,1.18339,1.18366,500000,500000
2020-11-17,08:00:04.191,EUR/USD,Provider2,1.18336,1.18364,1000000,1000000
2020-11-17,08:00:04.192,EUR/USD,Provider4,1.18333,1.18366,1000000,1000000
2020-11-17,08:00:04.192,EUR/USD,Provider1,1.18343,1.18365,1000000,1000000
2020-11-17,08:00:04.195,EUR/USD,Provider1,1.18343,1.18366,1000000,1000000
2020-11-17,08:00:04.199,EUR/USD,Provider1,1.18343,1.18365,1000000,1000000
2020-11-17,08:00:04.200,EUR/USD,Provider1,1.18343,1.18366,1000000,1000000
2020-11-17,08:00:04.202,EUR/USD,Provider3,1.1834,1.18367,500000,500000
2020-11-17,08:00:04.211,EUR/USD,Provider3,1.18342,1.18368,500000,500000
2020-11-17,08:00:04.212,EUR/USD,Provider2,1.18337,1.18365,1000000,1000000
2020-11-17,08:00:04.215,EUR/USD,Provider1,1.18342,1.18365,1000000,1000000
2020-11-17,08:00:04.221,EUR/USD,Provider1,1.18344,1.18366,1000000,1000000
2020-11-17,08:00:04.228,EUR/USD,Provider1,1.18344,1.18367,1000000,1000000
2020-11-17,08:00:04.251,EUR/USD,Provider1,1.18344,1.18366,1000000,1000000
2020-11-17,08:00:04.285,EUR/USD,Provider4,1.18335,1.18368,1000000,1000000
2020-11-17,08:00:04.291,EUR/USD,Provider2,1.18339,1.18366,1000000,1000000
2020-11-17,08:00:04.306,EUR/USD,Provider1,1.18343,1.18366,1000000,1000000
2020-11-17,08:00:04.317,EUR/USD,Provider1,1.18344,1.18366,1000000,1000000
2020-11-17,08:00:04.332,EUR/USD,Provider1,1.18344,1.18367,1000000,1000000
2020-11-17,08:00:04.371,EUR/USD,Provider1,1.18345,1.18367,1000000,1000000
2020-11-17,08:00:04.373,EUR/USD,Provider1,1.18345,1.18368,1000000,1000000
2020-11-17,08:00:04.377,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:04.378,EUR/USD,Provider3,1.18343,1.18369,500000,500000
2020-11-17,08:00:04.381,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:04.384,EUR/USD,Provider1,1.18345,1.18371,1000000,1000000
2020-11-17,08:00:04.391,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:04.396,EUR/USD,Provider3,1.18343,1.18372,500000,500000
2020-11-17,08:00:04.401,EUR/USD,Provider2,1.1834,1.18368,1000000,1000000
2020-11-17,08:00:04.446,EUR/USD,Provider2,1.18341,1.18369,1000000,1000000
2020-11-17,08:00:04.471,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:04.483,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:04.490,EUR/USD,Provider3,1.18343,1.18373,500000,500000
2020-11-17,08:00:04.509,EUR/USD,Provider3,1.18343,1.18372,500000,500000
2020-11-17,08:00:04.521,EUR/USD,Provider1,1.18345,1.18371,1000000,1000000
2020-11-17,08:00:04.529,EUR/USD,Provider3,1.18343,1.18373,500000,500000
2020-11-17,08:00:04.540,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:04.598,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:04.601,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:04.602,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:04.608,EUR/USD,Provider3,1.18343,1.18371,500000,500000
2020-11-17,08:00:04.609,EUR/USD,Provider1,1.18345,1.18368,1000000,1000000
2020-11-17,08:00:04.617,EUR/USD,Provider1,1.18344,1.18367,1000000,1000000
2020-11-17,08:00:04.622,EUR/USD,Provider1,1.18345,1.18368,1000000,1000000
2020-11-17,08:00:04.625,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:04.626,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:04.626,EUR/USD,Provider4,1.18337,1.1837,1000000,1000000
2020-11-17,08:00:04.628,EUR/USD,Provider2,1.18341,1.18368,1000000,1000000
2020-11-17,08:00:04.645,EUR/USD,Provider1,1.18345,1.18368,1000000,1000000
2020-11-17,08:00:04.663,EUR/USD,Provider3,1.18344,1.1837,500000,500000
2020-11-17,08:00:04.670,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:04.681,EUR/USD,Provider1,1.18346,1.18369,1000000,1000000
2020-11-17,08:00:04.684,EUR/USD,Provider3,1.18344,1.1837,500000,500000
2020-11-17,08:00:04.691,EUR/USD,Provider2,1.1834,1.18367,1000000,1000000
2020-11-17,08:00:04.700,EUR/USD,Provider1,1.18346,1.18368,1000000,1000000
2020-11-17,08:00:04.770,EUR/USD,Provider1,1.18345,1.18368,1000000,1000000
2020-11-17,08:00:04.922,EUR/USD,Provider1,1.18345,1.18367,1000000,1000000
2020-11-17,08:00:04.940,EUR/USD,Provider2,1.1834,1.18368,1000000,1000000
2020-11-17,08:00:04.993,EUR/USD,Provider2,1.1834,1.18368,1000000,900000
2020-11-17,08:00:05.027,EUR/USD,Provider1,1.18344,1.18366,1000000,1000000
2020-11-17,08:00:05.033,EUR/USD,Provider1,1.18345,1.18367,1000000,1000000
2020-11-17,08:00:05.035,EUR/USD,Provider4,1.18336,1.18369,1000000,1000000
2020-11-17,08:00:05.036,EUR/USD,Provider1,1.18344,1.18366,1000000,1000000
2020-11-17,08:00:05.041,EUR/USD,Provider3,1.18343,1.18369,500000,500000
2020-11-17,08:00:05.057,EUR/USD,Provider1,1.18344,1.18367,1000000,1000000
2020-11-17,08:00:05.065,EUR/USD,Provider1,1.18345,1.18367,1000000,1000000
2020-11-17,08:00:05.074,EUR/USD,Provider3,1.18343,1.1837,500000,500000
2020-11-17,08:00:05.087,EUR/USD,Provider2,1.1834,1.18368,1000000,1000000
2020-11-17,08:00:05.098,EUR/USD,Provider1,1.18344,1.18367,1000000,1000000
2020-11-17,08:00:05.109,EUR/USD,Provider2,1.18339,1.18367,1000000,1000000
2020-11-17,08:00:05.125,EUR/USD,Provider1,1.18345,1.18367,1000000,1000000
2020-11-17,08:00:05.163,EUR/USD,Provider1,1.18344,1.18367,1000000,1000000
2020-11-17,08:00:05.166,EUR/USD,Provider1,1.18345,1.18368,1000000,1000000
2020-11-17,08:00:05.184,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:05.199,EUR/USD,Provider3,1.18341,1.18369,500000,500000
2020-11-17,08:00:05.214,EUR/USD,Provider3,1.18343,1.18369,500000,500000
2020-11-17,08:00:05.226,EUR/USD,Provider1,1.18345,1.18368,1000000,1000000
2020-11-17,08:00:05.235,EUR/USD,Provider2,1.1834,1.18368,1000000,1000000
2020-11-17,08:00:05.262,EUR/USD,Provider3,1.18343,1.18369,500000,500000
2020-11-17,08:00:05.507,EUR/USD,Provider4,1.18336,1.18369,1000000,1000000
2020-11-17,08:00:05.883,EUR/USD,Provider1,1.18345,1.18369,1000000,1000000
2020-11-17,08:00:05.902,EUR/USD,Provider1,1.18345,1.1837,1000000,1000000
2020-11-17,08:00:05.905,EUR/USD,Provider3,1.18344,1.1837,500000,500000
2020-11-17,08:00:05.906,EUR/USD,Provider2,1.18341,1.18368,1000000,1000000
2020-11-17,08:00:05.910,EUR/USD,Provider3,1.18343,1.18371,500000,500000
